District/School IRN,District/School Name,School Year,Org Type,Core Curriculum/Intervention,Reported Grades,Status,Reported Material Type,DEW Approved Material Type,DEW Approved Grades
049940,Sandy Valley Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049940,Sandy Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - PS,Implemented,ELA Core,N/A,N/A
049940,Sandy Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
044743,Sandusky City,2024–2025,Public District,Amplify CKLA K-2 Skills (Amplify),KG - 02,Implemented,ELA Core,ELA Core,KG - 02
044743,Sandusky City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
044743,Sandusky City,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),09 - 12,Implemented,ELA Core,ELA Core,KG - 05
044743,Sandusky City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 06,Implemented,Reading Intervention,N/A,N/A
044743,Sandusky City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 08,Implemented,Reading Intervention,N/A,N/A
044743,Sandusky City,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 02,Implemented,Reading Intervention,N/A,N/A
044743,Sandusky City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044743,Sandusky City,2024–2025,Public District,Wonders 2020 (McGraw Hill),03 - 06,Implemented,ELA Core,ELA Core,KG - 05
044735,Salem City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 04,Implemented,Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 06,Implemented,Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 08,Implemented,Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
044735,Salem City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044735,Salem City,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
019199,Sagewood Preparatory Academy,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
049817,Russia Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
049817,Russia Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045609,Rossford Exempted Village,2024–2025,Public District,Foundations A-Z (Learning A-Z),03 - 04,Implemented,Reading Intervention,ELA Core,KG - 02
045609,Rossford Exempted Village,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045609,Rossford Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 05,Implemented,Reading Intervention,N/A,N/A
045609,Rossford Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 08,Implemented,Reading Intervention,N/A,N/A
045609,Rossford Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,KG - 03,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045609,Rossford Exempted Village,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046144,Ross Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 03,Implemented,ELA Core,ELA Core,KG - 02
046144,Ross Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
046144,Ross Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 08,Implemented,Reading Intervention,N/A,N/A
046144,Ross Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,Reading Intervention,N/A,N/A
046144,Ross Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
046144,Ross Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 01,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049213,Rootstown Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
049213,Rootstown Local,2024–2025,Public District,OUR EL Education K-5 Language Arts (Open Up Resources),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
047308,Rolling Hills Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),PS - 12,Implemented,ELA Core,ELA Core,KG - 05
044701,Rocky River City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044701,Rocky River City,2024–2025,Public District,Fundations (Wilson Language Training),PS - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044701,Rocky River City,2024–2025,Public District,Other published instr materials not on Dept list,PS - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044701,Rocky River City,2024–2025,Public District,Other published instr materials not on Dept list,02 - 03,Implemented,Reading Intervention,N/A,N/A
044701,Rocky River City,2024–2025,Public District,Other published instr materials not on Dept list,02 - 12,Implemented,Reading Intervention,N/A,N/A
044701,Rocky River City,2024–2025,Public District,Other published instr materials not on Dept list,04 - 09,Implemented,Reading Intervention,N/A,N/A
044701,Rocky River City,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
047944,Rock Hill Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047944,Rock Hill Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047944,Rock Hill Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
047944,Rock Hill Local,2024–2025,Public District,World of Wonders (McGraw Hill),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
012040,Road To Success Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
047894,Riverside Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047894,Riverside Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 05,Implemented,Reading Intervention,N/A,N/A
047894,Riverside Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 12,Implemented,Reading Intervention,N/A,N/A
047894,Riverside Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 02,Implemented,ELA Core,ELA Core,03 - 05
048090,Riverside Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
133678,"Riverside Community School, Inc. Dba Riverside Academy",2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
133678,"Riverside Community School, Inc. Dba Riverside Academy",2024–2025,Community School,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
133678,"Riverside Community School, Inc. Dba Riverside Academy",2024–2025,Community School,Fundations (Wilson Language Training),KG - 05,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047514,Riverdale Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 05,Implemented,ELA Core,ELA Core,KG - 05
047514,Riverdale Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
047514,Riverdale Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
047514,Riverdale Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 05,Implemented,Reading Intervention,N/A,N/A
046482,River View Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
046482,River View Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
048447,River Valley Local,2024–2025,Public District,Magnetic Reading Foundations (Curriculum Associates),03 - 05,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048447,River Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,02 - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048447,River Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048447,River Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 01,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
133488,River Gate High School,2024–2025,Community School,Other published instr materials not on Dept list,09 - 12,Implemented,Reading Intervention,N/A,N/A
045591,Rittman Exempted Village,2024–2025,Public District,Savvas Essentials: Foundational Reading (Savvas),06 - 12,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
045591,Rittman Exempted Village,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045591,Rittman Exempted Village,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
000640,Rittman Academy,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),09 - 12,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
013999,Rise & Shine Academy,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),PS - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
046078,Ripley-Union-Lewis-Huntington Local,2024–2025,Public District,Benchmark Phonics (Benchmark Education),KG - 06,Implemented,Reading Intervention,ELA Core,KG - 02
046078,Ripley-Union-Lewis-Huntington Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 04,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046078,Ripley-Union-Lewis-Huntington Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
046474,Ridgewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 05,Implemented,Reading Intervention,N/A,N/A
046474,Ridgewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 10,Implemented,Reading Intervention,N/A,N/A
046474,Ridgewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Reading Intervention,N/A,N/A
046474,Ridgewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - PS,Implemented,Reading Intervention,N/A,N/A
046474,Ridgewood Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
046474,Ridgewood Local,2024–2025,Public District,World of Wonders (McGraw Hill),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
047506,Ridgemont Local,2024–2025,Public District,Other published instr materials not on Dept list,03 - 05,Implemented,Reading Intervention,N/A,N/A
047506,Ridgemont Local,2024–2025,Public District,Other published instr materials not on Dept list,06 - 12,Implemented,Reading Intervention,N/A,N/A
047506,Ridgemont Local,2024–2025,Public District,"Reading Horizons Discovery (HEC Software, Inc.)",KG - 02,Implemented,Reading Intervention,ELA Core,KG - 02
047506,Ridgemont Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
048439,Ridgedale Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
048439,Ridgedale Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048439,Ridgedale Local,2024–2025,Public District,Other published instr materials not on Dept list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048439,Ridgedale Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046599,Richmond Heights Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 03,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
133348,Richard Allen Preparatory,2024–2025,Community School,Imagine Learning EL Education (Imagine Learning),KG - 08,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
133736,Richard Allen Academy,2024–2025,Community School,Imagine Learning EL Education (Imagine Learning),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
047001,Reynoldsburg City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047001,Reynoldsburg City,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050054,Revere Local,2024–2025,Public District,Fundations (Wilson Language Training),PS - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050054,Revere Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 08,Implemented,Reading Intervention,N/A,N/A
050054,Revere Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050054,Revere Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 08,Implemented,ELA Core,ELA Core,03 - 05
011439,Renaissance Academy Dba Bessie Sherrod Price Preparatory Aca,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
011439,Renaissance Academy Dba Bessie Sherrod Price Preparatory Aca,2024–2025,Community School,Other published instr materials incl on Dept approved list,03 - 08,Implemented,Reading Intervention,N/A,N/A
011439,Renaissance Academy Dba Bessie Sherrod Price Preparatory Aca,2024–2025,Community School,Other published instr materials not on Dept list,KG - 03,Implemented,Reading Intervention,N/A,N/A
011439,Renaissance Academy Dba Bessie Sherrod Price Preparatory Aca,2024–2025,Community School,Other published instr materials not on Dept list,KG - 04,Implemented,Reading Intervention,N/A,N/A
012036,Regent High School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
133504,Regeneration Schools Avondale Elementary,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
020817,Regeneration Middle School,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),05 - 08,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
017490,Regeneration Bond Hill,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
044693,Reading Community City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044693,Reading Community City,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044693,Reading Community City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
044693,Reading Community City,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 06,Implemented,Reading Intervention,N/A,N/A
044693,Reading Community City,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Reading Intervention,N/A,N/A
044693,Reading Community City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,Reading Intervention,N/A,N/A
044693,Reading Community City,2024–2025,Public District,Other published instr materials not on Dept list,PS - PS,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044685,Ravenna City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044685,Ravenna City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
044685,Ravenna City,2024–2025,Public District,Other published instr materials not on Dept list,06 - 08,Implemented,ELA Core,N/A,N/A
044685,Ravenna City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 06,Implemented,Reading Intervention,N/A,N/A
044685,Ravenna City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
019156,Quaker Preparatory Academy,2024–2025,Community School,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
019156,Quaker Preparatory Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
019156,Quaker Preparatory Academy,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
000241,Quaker Digital Academy,2024–2025,Community School,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
000241,Quaker Digital Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
000241,Quaker Digital Academy,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045880,Pymatuning Valley Local School District,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
045880,Pymatuning Valley Local School District,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
049304,Putnam County Esc,2024–2025,Educational Service Center,High Scope Preschool Curriculum (HighScope),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
048975,Put-In-Bay Local,2024–2025,Public District,Amplify CKLA PreK (Amplify),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
048975,Put-In-Bay Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 06,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048975,Put-In-Bay Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
000936,Promise Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044677,Princeton City,2024–2025,Public District,Countdown (Really Great Reading),02 - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
044677,Princeton City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
044677,Princeton City,2024–2025,Public District,Other published instr materials not on Dept list,PS - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049288,Preble Shawnee Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
049288,Preble Shawnee Local,2024–2025,Public District,Foundations A-Z (Learning A-Z),KG - 02,Implemented,Reading Intervention,ELA Core,KG - 02
049288,Preble Shawnee Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
049288,Preble Shawnee Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",05 - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
049288,Preble Shawnee Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049288,Preble Shawnee Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Reading Intervention,N/A,N/A
049254,Preble County Esc,2024–2025,Educational Service Center,95 Phonics Core Program (95 Percent Group),PS - PS,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
044669,Portsmouth City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044669,Portsmouth City,2024–2025,Public District,Wonders 2020 (McGraw Hill),KG - 06,Implemented,ELA Core,ELA Core,KG - 05
044669,Portsmouth City,2024–2025,Public District,World of Wonders (McGraw Hill),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044651,Port Clinton City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),03 - 05,Implemented,Reading Intervention,ELA Core,KG - 02
044651,Port Clinton City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044651,Port Clinton City,2024–2025,Public District,Amplify CKLA PreK (Amplify),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044651,Port Clinton City,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044651,Port Clinton City,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 08,Implemented,Reading Intervention,N/A,N/A
044651,Port Clinton City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,Blast Foundations (Really Great Reading),KG - 01,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
048348,Poland Local,2024–2025,Public District,Countdown (Really Great Reading),01 - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
048348,Poland Local,2024–2025,Public District,HD Word (Really Great Reading),02 - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
048348,Poland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
048348,Poland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 12,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 06,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - PS,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,Other published instr materials not on Dept list,04 - 12,Implemented,Reading Intervention,N/A,N/A
048348,Poland Local,2024–2025,Public District,"The Superkids Reading Program (Zaner-Bloser, Inc.)",KG - 02,Implemented,ELA Core,ELA Core,02 - 02
048348,Poland Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),03 - 05,Implemented,ELA Core,ELA Core,KG - 05
048348,Poland Local,2024–2025,Public District,World of Wonders (McGraw Hill),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
049460,Plymouth-Shiloh Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 04,Implemented,ELA Core,ELA Core,KG - 05
049460,Plymouth-Shiloh Local,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
049460,Plymouth-Shiloh Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",05 - 05,Implemented,ELA Core,ELA Core,KG - 05
049460,Plymouth-Shiloh Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
049460,Plymouth-Shiloh Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 12,Implemented,Reading Intervention,N/A,N/A
048421,Pleasant Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
048421,Pleasant Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),05 - 05,Implemented,ELA Core,ELA Core,KG - 05
048421,Pleasant Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
048421,Pleasant Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 12,Implemented,Reading Intervention,N/A,N/A
049932,Plain Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049932,Plain Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 04,Implemented,Reading Intervention,N/A,N/A
049932,Plain Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 12,Implemented,Reading Intervention,N/A,N/A
049932,Plain Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 06,Implemented,Reading Intervention,N/A,N/A
049932,Plain Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
044644,Piqua City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044644,Piqua City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 01,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044644,Piqua City,2024–2025,Public District,"Reading Horizons Discovery (HEC Software, Inc.)",04 - 12,Implemented,Reading Intervention,ELA Core,KG - 02
044644,Piqua City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),01 - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
000543,Pinnacle Academy,2024–2025,Community School,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
